,year,Region,population,mortality_rate_100k,rGDP,proportion_under15,proportion_over60,life_expectancy,infant_death_rate_per100k,maternal_death_rate_per100k,population_density,WHO_PD,PD
61,2029,I - Ilocos,5835962,680.0,1025642680.9687772,26.48007546744403,12.74547477855007,75.53741974858177,1456.9183028191858,78.1398292944221,450.0,10,17.579761452503114
62,2030,I - Ilocos,5895507,680.0,1092309455.231748,26.06794313308344,13.02468510451491,75.71760392388339,1456.9183028191858,78.1398292944221,454.0,10,18.076968301372887
63,2010,II - Cagayan,3229163,556.7696644610384,192880303.9,31.8035923708413,7.246466267514349,69.24002518185765,919.216214974032,62.81310802322553,108.0,10,10.872194100346531
64,2011,II - Cagayan,3272824,556.1863393815249,213085202.1,31.567390293722653,7.4507863962241405,69.54002518185763,937.8267019248508,63.0342537359326,109.0,10,11.140474253243305
65,2012,II - Cagayan,3316485,572.2021959996804,234724620.4,31.337081151038397,7.65000900362167,69.84002518185764,978.1975407071236,58.26254944650578,111.0,10,11.406928494398985
66,2013,II - Cagayan,3360146,576.5820889925616,268304482.4,31.11244712831463,7.84432250414378,70.14002518185765,1035.8377868594782,77.01980509273812,112.0,10,11.67156774066795
67,2014,II - Cagayan,3403807,566.9534142211941,304061089.7,30.89328101490117,8.03390613968044,70.44002518185764,1073.4916559691912,64.18485237483954,114.0,10,11.934405467893063
68,2015,II - Cagayan,3447468,586.2853549329537,303113509.4,30.679385566450502,8.21893053104481,70.74002518185765,960.1560046933616,72.71405199054716,115.0,10,12.195457373485349
69,2016,II - Cagayan,3493662,599.7145688392294,323458415.7,30.45371876271946,8.50236800239977,70.98002518185763,1032.655154727304,49.58112497862883,117.0,10,12.455569243403428
70,2017,II - Cagayan,3537703,596.8562086755163,358686602.1,30.22834308024161,8.78471143564058,71.22002518185764,1041.7402358923653,72.39211808743555,118.0,10,12.71816004569766
71,2018,II - Cagayan,3579715,601.0534358182146,385061270.6,30.00247226385341,9.06681118468928,71.46002518185765,1126.9884065785925,62.91003864473802,119.0,10,12.983946777829429
72,2019,II - Cagayan,3619689,620.5505500610687,399370781.2,29.776315037010082,9.348676087918049,71.70002518185765,1088.6587045527442,73.58351729212656,121.0,10,13.252749016009385
73,2020,II - Cagayan,3657741,556.4089967004224,367095721.5,29.54911241665279,9.63108104154996,71.94002518185764,850.7486588197614,90.0792697573865,122.0,10,13.525289484132221
74,2021,II - Cagayan,3729141,580.0,378916203.7323,29.322158160569018,9.91262334635743,72.18002518185763,1004.1379150635275,67.8704263112822,124.0,10,13.800367677727795
75,2022,II - Cagayan,3771156,580.0,402787924.5674349,29.094970742160797,10.19396665046298,72.42002518185762,1004.1379150635275,67.8704263112822,126.0,10,14.078439022829535
76,2023,II - Cagayan,3811726,580.0,430821964.1173284,28.8674807630105,10.475407934832571,72.66002518185763,1004.1379150635275,67.8704263112822,127.0,10,14.359577510393835
77,2024,II - Cagayan,3850804,580.0,459859364.49883634,28.639152567868198,10.75741621869829,72.90002518185764,1004.1379150635275,67.8704263112822,129.0,10,14.644316557037525
78,2025,II - Cagayan,3888710,580.0,489566279.4454612,28.411084308058587,11.038724239902919,73.14002518185762,1004.1379150635275,67.8704263112822,130.0,10,14.931593896583223
79,2026,II - Cagayan,3926959,580.0,521241217.7255825,27.906078551763752,11.37756078881868,73.34002518185764,1004.1379150635275,67.8704263112822,131.0,10,15.48881198791439
80,2027,II - Cagayan,3965560,580.0,555121896.8777454,27.41656708904372,11.70600135135739,73.54002518185763,1004.1379150635275,67.8704263112822,132.0,10,16.04034755459394
81,2028,II - Cagayan,4004516,580.0,591204820.1747988,26.94184761339199,12.02451714415366,73.74002518185762,1004.1379150635275,67.8704263112822,134.0,10,16.586106286685236
82,2029,II - Cagayan,4043831,580.0,629633133.4861608,26.48125963095197,12.33355132940152,73.94002518185764,1004.1379150635275,67.8704263112822,135.0,10,17.126020372763747
83,2030,II - Cagayan,4083515,580.0,670559287.1627612,26.034181394445522,12.633521072052819,74.14002518185762,1004.1379150635275,67.8704263112822,136.0,10,17.660045047897928
84,2010,III - C. Luzon,10137737,563.8733772635846,979287699.5,32.231913501264856,6.94646572184835,70.82947272001857,1064.1730051033378,69.41321392957003,462.0,10,10.867025282787315
85,2011,III - C. Luzon,10350003,561.7679313999066,1096258667.0,31.733591495319207,7.1381860681843,71.06947272001855,1184.946824119891,65.26820679396496,472.0,10,11.346538678011118
86,2012,III - C. Luzon,10562269,569.6124141801415,1206580595.0,31.25329791905332,7.32297030344978,71.30947272001858,1064.0066500415628,61.12170554007139,482.0,10,11.820531189464038
87,2013,III - C. Luzon,10774536,560.6645045194614,1306617621.0,30.79007179945736,7.50118814456692,71.54947272001857,1105.9636887082222,54.23378308514197,491.0,10,12.2889010095508
88,2014,III - C. Luzon,10986802,567.016649593759,1461916690.0,30.34301926846861,7.673183491047519,71.78947272001858,1112.4744792753895,67.20669623082445,501.0,10,12.751581103031684
89,2015,III - C. Luzon,11199069,585.2272184411044,1511232438.0,29.9113078060328,7.839276639870681,72.02947272001857,1206.8271352635093,84.09057319192527,511.0,10,13.208533891398854
90,2016,III - C. Luzon,11437442,601.1571468515425,1640708336.0,29.520464453502797,8.12802373118045,72.24968514022773,1296.765928521007,58.56362257836807,522.0,10,13.629902950348336
91,2017,III - C. Luzon,11667642,582.6370058320267,1860323671.0,29.130230427022006,8.41563359588852,72.46989756043689,1209.0243163317557,62.69789021599423,532.0,10,14.057303148188243
92,2018,III - C. Luzon,11890314,594.652084040842,2062393875.0,28.73957744093217,8.70303341021944,72.69010998064604,1288.091840161182,71.88129617192747,542.0,10,14.491709694910721
