,Region,Year,Gross Regional Domestic Product,GDP_log
46,X - N. Mindanao,2023,1011060319.6405675,20.734265438548746
47,XI - Davao,2023,1043863692.9750605,20.766194755598438
48,XII - SOCCSKSARGEN,2023,549131935.7474966,20.123849290724493
49,XIII - Caraga,2023,342296908.98909813,19.65118907333723
50,BARMM,2023,305433036.26642954,19.53724111865886
51,NCR,2024,7261952154.282073,22.70591452141259
52,CAR,2024,371453603.3603891,19.73293452431027
53,I - Ilocos,2024,749089217.8144109,20.434368650294847
54,II - Cagayan,2024,459859364.49883634,19.946431271352314
55,III - C. Luzon,2024,2333657604.6410623,21.570702661095304
56,IVA - Calabarzon,2024,3213321147.8304358,21.890570864724612
57,MIMAROPA,2024,428401085.38981986,19.87557043012434
58,V - Bicol,2024,646132787.8721609,20.286515594605223
59,VI - W. Visayas,2024,1065727098.0070872,20.78692312429316
60,VII - C. Visayas,2024,1459039142.0102656,21.10104393409859
61,VIII - E. Visayas,2024,517728748.903173,20.064962012304736
62,IX - Zamboanga,2024,494273331.61078006,20.018599224992442
63,X - N. Mindanao,2024,1079205785.184342,20.799491223466454
64,XI - Davao,2024,1114220105.8815796,20.831420540516145
65,XII - SOCCSKSARGEN,2024,586143428.2168779,20.1890750756422
66,XIII - Caraga,2024,365367720.6549634,19.716414858254936
67,BARMM,2024,326019222.91078687,19.602466903576566
68,NCR,2025,7731074263.448695,22.768513663169113
69,CAR,2025,395449506.13747025,19.795533666066788
70,I - Ilocos,2025,797480381.2852218,20.496967792051368
71,II - Cagayan,2025,489566279.44546115,20.00903041310883
72,III - C. Luzon,2025,2484411885.900875,21.633301802851822
73,IVA - Calabarzon,2025,3420901693.980282,21.953170006481134
74,MIMAROPA,2025,456075795.50600225,19.93816957188086
75,V - Bicol,2025,687872965.9687026,20.349114736361745
76,VI - W. Visayas,2025,1134573068.538345,20.849522266049682
77,VII - C. Visayas,2025,1553293070.5841289,21.163643075855113
78,VIII - E. Visayas,2025,551174026.0823181,20.127561154061258
79,IX - Zamboanga,2025,526203388.83283645,20.08119836674896
80,X - N. Mindanao,2025,1148922478.9072504,20.862090365222972
81,XI - Davao,2025,1186198724.7215297,20.894019682272663
82,XII - SOCCSKSARGEN,2025,624008293.6796882,20.251674217398723
83,XIII - Caraga,2025,388970475.409274,19.779014000011458
84,BARMM,2025,347080064.7108237,19.665066045333084
85,NCR,2026,8231274768.293826,22.831206732507535
86,CAR,2026,421035089.1845646,19.858226735405214
87,I - Ilocos,2026,849077361.9543756,20.55966086138979
88,II - Cagayan,2026,521241217.7255825,20.071723482447258
89,III - C. Luzon,2026,2645153334.9186616,21.695994872190244
90,IVA - Calabarzon,2026,3642234033.5808063,22.015863075819556
91,MIMAROPA,2026,485583899.4752406,20.000862641219285
92,V - Bicol,2026,732378346.8668776,20.411807805700168
93,VI - W. Visayas,2026,1207979946.072776,20.912215335388105
94,VII - C. Visayas,2026,1653791132.250922,21.226336145193535
95,VIII - E. Visayas,2026,586834985.569844,20.19025422339968
96,IX - Zamboanga,2026,560248748.090321,20.143891436087387
97,X - N. Mindanao,2026,1223257763.2925496,20.924783434561395
98,XI - Davao,2026,1262945782.2110126,20.956712751611086
99,XII - SOCCSKSARGEN,2026,664381630.280764,20.314367286737145
100,XIII - Caraga,2026,414136865.168254,19.84170706934988
101,BARMM,2026,369536144.897614,19.72775911467151
102,NCR,2027,8766307628.232925,22.894181531668924
103,CAR,2027,448402369.9815613,19.921201534566602
104,I - Ilocos,2027,904267390.48141,20.62263566055118
105,II - Cagayan,2027,555121896.8777454,20.134698281608646
106,III - C. Luzon,2027,2817088301.6883745,21.758969671351633
107,IVA - Calabarzon,2027,3878979245.763559,22.078837874980945
108,MIMAROPA,2027,517146852.94113123,20.063837440380674
109,V - Bicol,2027,779982939.4132246,20.474782604861556
110,VI - W. Visayas,2027,1286498642.5675066,20.975190134549493
111,VII - C. Visayas,2027,1761287555.8472319,21.289310944354924
112,VIII - E. Visayas,2027,624979259.6318839,20.25322902256107
113,IX - Zamboanga,2027,596664916.7161918,20.206866235248775
114,X - N. Mindanao,2027,1302769517.9065654,20.987758233722783
115,XI - Davao,2027,1345037258.0547285,21.019687550772474
116,XII - SOCCSKSARGEN,2027,707566436.2490137,20.377342085898533
117,XIII - Caraga,2027,441055761.40419054,19.90468186851127
118,BARMM,2027,393555994.3159589,19.7907339138329
119,NCR,2028,9336117624.068066,22.957156330830312
120,CAR,2028,477548524.0303628,19.98417633372799
121,I - Ilocos,2028,963044770.8627017,20.685610459712567
122,II - Cagayan,2028,591204820.1747988,20.197673080770034
123,III - C. Luzon,2028,3000199041.298119,21.82194447051302
124,IVA - Calabarzon,2028,4131112896.73819,22.141812674142333
125,MIMAROPA,2028,550761398.3823048,20.126812239542062
126,V - Bicol,2028,830681830.4750842,20.537757404022944
127,VI - W. Visayas,2028,1370121054.3343945,21.03816493371088
128,VII - C. Visayas,2028,1875771246.9773018,21.352285743516312
129,VIII - E. Visayas,2028,665602911.5079563,20.316203821722457
130,IX - Zamboanga,2028,635448136.3027443,20.269841034410163
131,X - N. Mindanao,2028,1387449536.5704923,21.050733032884175
132,XI - Davao,2028,1432464679.828286,21.082662349933862
133,XII - SOCCSKSARGEN,2028,753558254.6051996,20.44031688505992
134,XIII - Caraga,2028,469724385.89546293,19.967656667672657
135,BARMM,2028,419137133.94649625,19.853708712994287
136,NCR,2029,9942965269.63249,23.0201311299917
137,CAR,2029,508589178.09233636,20.04715113288938
138,I - Ilocos,2029,1025642680.9687773,20.748585258873955
139,II - Cagayan,2029,629633133.4861608,20.260647879931422
140,III - C. Luzon,2029,3195211978.9824967,21.884919269674413
141,IVA - Calabarzon,2029,4399635235.026173,22.20478747330372
142,MIMAROPA,2029,586560889.2771546,20.18978703870345
143,V - Bicol,2029,884676149.4559647,20.600732203184332
144,VI - W. Visayas,2029,1459178922.86613,21.10113973287227
145,VII - C. Visayas,2029,1997696378.0308266,21.4152605426777
146,VIII - E. Visayas,2029,708867100.7559735,20.379178620883845
147,IX - Zamboanga,2029,676752265.1624227,20.33281583357155
148,X - N. Mindanao,2029,1477633756.4475744,21.113707832045563
149,XI - Davao,2029,1525574884.0171244,21.145637149095254
150,XII - SOCCSKSARGEN,2029,802539541.1545376,20.50329168422131
151,XIII - Caraga,2029,500256470.97866803,20.030631466834045
152,BARMM,2029,446381047.6530185,19.916683512155675
153,NCR,2030,10589258012.158602,23.08310592915309
154,CAR,2030,541647474.6683382,20.110125932050767
155,I - Ilocos,2030,1092309455.2317479,20.811560058035344
156,II - Cagayan,2030,670559287.1627612,20.32362267909281
157,III - C. Luzon,2030,3402900757.616359,21.9478940688358
158,IVA - Calabarzon,2030,4685611525.302874,22.26776227246511
159,MIMAROPA,2030,624687347.0801696,20.25276183786484
160,V - Bicol,2030,942180099.1706024,20.66370700234572
161,VI - W. Visayas,2030,1554025552.8524287,21.164114532033658
162,VII - C. Visayas,2030,2127546642.6028304,21.47823534183909
163,VIII - E. Visayas,2030,754943462.3051118,20.442153420045234
164,IX - Zamboanga,2030,720741162.3979801,20.39579063273294
165,X - N. Mindanao,2030,1573679950.6166668,21.17668263120695
166,XI - Davao,2030,1624737251.4782376,21.208611948256642
167,XII - SOCCSKSARGEN,2030,854704611.3295825,20.566266483382698
168,XIII - Caraga,2030,532773141.59228146,20.093606265995433
169,BARMM,2030,475395815.7504647,19.979658311317063
