Region,Year,Pop_Age_<25,Pop_Age_25-34,Pop_Age_35-44,Pop_Age_45-54,Pop_Age_55-64,Pop_Age_65 and above,Age_<25,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65 and above,propensity__<25,propensity__25-34,propensity__35-44,propensity__45-54,propensity__55-64,propensity__65 and above
MIMAROPA,2015,1612983.0,414996.0,344554.0,268624.0,178238.0,140096.0,0.0,11.0,70.0,115.0,115.0,103.0,0.0,2.6506279578598347e-05,0.00020316118808662794,0.00042810768955863957,0.0006452047262648818,0.0007352101416171768
MIMAROPA,2016,1628531.0,427137.0,348806.0,272549.0,183422.0,145985.0,0.0,10.0,72.0,113.0,116.0,103.0,0.0,2.341169226735216e-05,0.00020641846757223214,0.0004146043463744134,0.0006324214107358986,0.0007055519402678357
MIMAROPA,2017,1642697.0,439163.0,352799.0,276274.0,188545.0,151864.0,0.0,10.0,72.0,113.0,117.0,103.0,0.0,2.2770588596944642e-05,0.00020408221111737845,0.0004090142394868862,0.0006205415152881275,0.000678238423852921
MIMAROPA,2018,1655535.0,451098.0,356546.0,279811.0,193610.0,157757.0,0.0,10.0,51.0,62.0,74.0,81.0,0.0,2.216813198019056e-05,0.00014303904685510424,0.00022157813667082423,0.0003822116626207324,0.0005134478977161077
MIMAROPA,2019,1667081.0,462936.0,360060.0,283157.0,198620.0,163649.0,0.0,9.0,40.0,67.0,76.0,86.0,0.0,1.944113225154233e-05,0.00011109259567849802,0.00023661784804896225,0.0003826402175007552,0.0005255149741214428
MIMAROPA,2020,1677355.0,474690.0,363346.0,286329.0,203584.0,169555.0,0.0,9.0,35.0,66.0,81.0,87.0,0.0,1.8959742147506796e-05,9.632691704325904e-05,0.00023050407049233574,0.0003978701666142722,0.000513107841113503
NCR,2010,5821500.0,2202000.0,1621500.0,1171200.0,671700.0,402900.0,0.0,5.0,689.0,549.0,441.0,420.0,0.0,2.270663033605813e-06,0.00042491520197348134,0.00046875,0.0006565430995980349,0.0010424422933730455
NCR,2011,5876001.0,2234884.4,1653035.6,1197333.0,699843.8,423384.4,0.0,22.0,881.0,723.0,557.0,494.0,0.0,9.84390959997752e-06,0.000532958878804546,0.0006038420389315253,0.0007958918833031027,0.0011667883842673467
NCR,2012,5930502.0,2267768.8,1684571.2,1223466.0,727987.6,443868.80000000005,0.0,374.0,2577.0,1936.0,1409.0,1587.0,0.0,0.00016491981016759734,0.0015297661505788535,0.0015823897026970917,0.0019354725272793109,0.0035753808332552317
NCR,2013,5985003.0,2300653.2,1716106.8,1249599.0,756131.4,464353.19999999995,0.0,536.0,2924.0,2179.0,1598.0,1853.0,0.0,0.00023297731270406158,0.001703856659737028,0.001743759398014883,0.0021133892865710904,0.003990496889006041
NCR,2014,6039504.0,2333537.6,1747642.4,1275732.0,784275.2,484837.6,4.0,553.0,2940.0,2187.0,1607.0,1882.0,6.623060436751097e-07,0.00023697925415900733,0.001682266349225677,0.001714309902079747,0.002049025648139837,0.0038817121444376427
NCR,2015,6094005.0,2366422.0,1779178.0,1301865.0,812419.0,505322.0,18.0,669.0,3225.0,2646.0,1912.0,2601.0,2.9537225519178275e-06,0.00028270528248976727,0.0018126348234971431,0.0020324688043691164,0.0023534653916267344,0.005147213064145238
